,Epochs,Validation Accuracy,Setting
334,5,0.46619999408721924,cifar_5000
335,6,0.4943000078201294,cifar_5000
336,7,0.4837000072002411,cifar_5000
337,8,0.4893999993801117,cifar_5000
338,9,0.4860000014305115,cifar_5000
339,10,0.5163999795913696,cifar_5000
340,11,0.47609999775886536,cifar_5000
341,12,0.482699990272522,cifar_5000
342,13,0.5127999782562256,cifar_5000
343,14,0.4991999864578247,cifar_5000
344,15,0.49540001153945923,cifar_5000
345,16,0.5131999850273132,cifar_5000
346,17,0.4894999861717224,cifar_5000
347,18,0.5145999789237976,cifar_5000
348,19,0.5077000260353088,cifar_5000
349,20,0.510699987411499,cifar_5000
350,21,0.512499988079071,cifar_5000
351,22,0.4936999976634979,cifar_5000
352,23,0.5127000212669373,cifar_5000
353,24,0.5099999904632568,cifar_5000
354,25,0.5220999717712402,cifar_5000
355,26,0.48840001225471497,cifar_5000
356,27,0.5031999945640564,cifar_5000
357,28,0.5109000205993652,cifar_5000
358,29,0.5123000144958496,cifar_5000
359,30,0.5088000297546387,cifar_5000
360,1,0.4187000095844269,cifar_5000
361,2,0.4350999891757965,cifar_5000
362,3,0.45239999890327454,cifar_5000
363,4,0.45680001378059387,cifar_5000
364,5,0.4771000146865845,cifar_5000
365,6,0.47360000014305115,cifar_5000
366,7,0.4884999990463257,cifar_5000
367,8,0.4616999924182892,cifar_5000
368,9,0.5217000246047974,cifar_5000
369,10,0.5131000280380249,cifar_5000
370,11,0.49900001287460327,cifar_5000
371,12,0.48660001158714294,cifar_5000
372,13,0.49309998750686646,cifar_5000
373,14,0.5029000043869019,cifar_5000
374,15,0.5120000243186951,cifar_5000
375,16,0.504800021648407,cifar_5000
376,17,0.4805000126361847,cifar_5000
377,18,0.49790000915527344,cifar_5000
378,19,0.5081999897956848,cifar_5000
379,20,0.5097000002861023,cifar_5000
380,21,0.5065000057220459,cifar_5000
381,22,0.5164999961853027,cifar_5000
382,23,0.5195000171661377,cifar_5000
383,24,0.5042999982833862,cifar_5000
384,25,0.48179998993873596,cifar_5000
385,26,0.532800018787384,cifar_5000
386,27,0.5112000107765198,cifar_5000
387,28,0.5212000012397766,cifar_5000
388,29,0.4968999922275543,cifar_5000
389,30,0.5231999754905701,cifar_5000
390,1,0.374099999666214,cifar_5000
391,2,0.42910000681877136,cifar_5000
392,3,0.43560001254081726,cifar_5000
393,4,0.4198000133037567,cifar_5000
394,5,0.4668999910354614,cifar_5000
395,6,0.4758000075817108,cifar_5000
396,7,0.46320000290870667,cifar_5000
397,8,0.5024999976158142,cifar_5000
398,9,0.5045999884605408,cifar_5000
399,10,0.44510000944137573,cifar_5000
400,11,0.5148000121116638,cifar_5000
401,12,0.513700008392334,cifar_5000
402,13,0.49459999799728394,cifar_5000
403,14,0.5037999749183655,cifar_5000
404,15,0.4943999946117401,cifar_5000
405,16,0.4997999966144562,cifar_5000
406,17,0.5253999829292297,cifar_5000
407,18,0.5127000212669373,cifar_5000
408,19,0.5069000124931335,cifar_5000
409,20,0.5034999847412109,cifar_5000
410,21,0.4927999973297119,cifar_5000
411,22,0.5149000287055969,cifar_5000
412,23,0.5260999798774719,cifar_5000
413,24,0.5331000089645386,cifar_5000
414,25,0.5252000093460083,cifar_5000
415,26,0.5130000114440918,cifar_5000
416,27,0.527400016784668,cifar_5000
417,28,0.5378000140190125,cifar_5000
418,29,0.5192999839782715,cifar_5000
419,30,0.5189999938011169,cifar_5000
420,1,0.4194999933242798,cifar_5000
421,2,0.4397999942302704,cifar_5000
422,3,0.4553999900817871,cifar_5000
423,4,0.49309998750686646,cifar_5000
424,5,0.47440001368522644,cifar_5000
425,6,0.49079999327659607,cifar_5000
426,7,0.4966000020503998,cifar_5000
427,8,0.4894999861717224,cifar_5000
428,9,0.5091999769210815,cifar_5000
429,10,0.5009999871253967,cifar_5000
430,11,0.511900007724762,cifar_5000
431,12,0.5210999846458435,cifar_5000
432,13,0.5048999786376953,cifar_5000
433,14,0.49149999022483826,cifar_5000
434,15,0.49390000104904175,cifar_5000
435,16,0.515500009059906,cifar_5000
436,17,0.4970000088214874,cifar_5000
437,18,0.49309998750686646,cifar_5000
438,19,0.5180000066757202,cifar_5000
439,20,0.5210999846458435,cifar_5000
440,21,0.5253000259399414,cifar_5000
441,22,0.531499981880188,cifar_5000
442,23,0.5131999850273132,cifar_5000
443,24,0.516700029373169,cifar_5000
444,25,0.5130000114440918,cifar_5000
445,26,0.524399995803833,cifar_5000
446,27,0.5170999765396118,cifar_5000
447,28,0.519599974155426,cifar_5000
448,29,0.5126000046730042,cifar_5000
449,30,0.5297999978065491,cifar_5000
450,1,0.4957999885082245,cifar_50000
451,2,0.48669999837875366,cifar_50000
452,3,0.5264000296592712,cifar_50000
453,4,0.5332000255584717,cifar_50000
454,5,0.5454000234603882,cifar_50000
455,6,0.5623999834060669,cifar_50000
456,7,0.5648999810218811,cifar_50000
457,8,0.5558000206947327,cifar_50000
458,9,0.5534999966621399,cifar_50000
459,10,0.5546000003814697,cifar_50000
460,11,0.5730000138282776,cifar_50000
461,12,0.571399986743927,cifar_50000
462,13,0.5756999850273132,cifar_50000
463,14,0.5633000135421753,cifar_50000
464,15,0.5825999975204468,cifar_50000
465,16,0.5774999856948853,cifar_50000
466,17,0.5770000219345093,cifar_50000
467,18,0.583299994468689,cifar_50000
468,19,0.5885000228881836,cifar_50000
469,20,0.5860000252723694,cifar_50000
470,21,0.5936999917030334,cifar_50000
471,22,0.5769000053405762,cifar_50000
472,23,0.5852000117301941,cifar_50000
473,24,0.5839999914169312,cifar_50000
474,25,0.5867000222206116,cifar_50000
475,26,0.5831000208854675,cifar_50000
476,27,0.5766000151634216,cifar_50000
477,28,0.5845999717712402,cifar_50000
478,29,0.5687000155448914,cifar_50000
479,30,0.5953999757766724,cifar_50000
480,1,0.49810001254081726,cifar_50000
481,2,0.5175999999046326,cifar_50000
482,3,0.5192000269889832,cifar_50000
483,4,0.5375000238418579,cifar_50000
484,5,0.5618000030517578,cifar_50000
485,6,0.5388000011444092,cifar_50000
486,7,0.553600013256073,cifar_50000
487,8,0.5777999758720398,cifar_50000
488,9,0.5613999962806702,cifar_50000
489,10,0.5698000192642212,cifar_50000
490,11,0.5741999745368958,cifar_50000
491,12,0.548799991607666,cifar_50000
492,13,0.5776000022888184,cifar_50000
493,14,0.578000009059906,cifar_50000
494,15,0.5455999970436096,cifar_50000
495,16,0.593999981880188,cifar_50000
496,17,0.5820000171661377,cifar_50000
497,18,0.5828999876976013,cifar_50000
498,19,0.5659000277519226,cifar_50000
499,20,0.5781000256538391,cifar_50000
500,21,0.5709999799728394,cifar_50000
501,22,0.5942000150680542,cifar_50000
502,23,0.5784000158309937,cifar_50000
503,24,0.5882999897003174,cifar_50000
504,25,0.5983999967575073,cifar_50000
505,26,0.592199981212616,cifar_50000
506,27,0.5820000171661377,cifar_50000
507,28,0.5795999765396118,cifar_50000
508,29,0.5813999772071838,cifar_50000
509,30,0.59170001745224,cifar_50000
510,1,0.4878999888896942,cifar_50000
511,2,0.5497999787330627,cifar_50000
512,3,0.5421000123023987,cifar_50000
513,4,0.5557000041007996,cifar_50000
514,5,0.566100001335144,cifar_50000
515,6,0.5422000288963318,cifar_50000
516,7,0.5794000029563904,cifar_50000
517,8,0.5472999811172485,cifar_50000
518,9,0.5684000253677368,cifar_50000
519,10,0.5587000250816345,cifar_50000
520,11,0.5309000015258789,cifar_50000
521,12,0.5738999843597412,cifar_50000
522,13,0.5694000124931335,cifar_50000
523,14,0.579800009727478,cifar_50000
524,15,0.5834000110626221,cifar_50000
525,16,0.5787000060081482,cifar_50000
526,17,0.5794000029563904,cifar_50000
527,18,0.5813000202178955,cifar_50000
528,19,0.5900999903678894,cifar_50000
529,20,0.5828999876976013,cifar_50000
530,21,0.5917999744415283,cifar_50000
531,22,0.5877000093460083,cifar_50000
532,23,0.58160001039505,cifar_50000
533,24,0.5680000185966492,cifar_50000
534,25,0.5690000057220459,cifar_50000
535,26,0.5889000296592712,cifar_50000
536,27,0.5806000232696533,cifar_50000
537,28,0.5598999857902527,cifar_50000
538,29,0.579800009727478,cifar_50000
539,30,0.5885000228881836,cifar_50000
540,1,0.5087000131607056,cifar_50000
541,2,0.5164999961853027,cifar_50000
542,3,0.5389999747276306,cifar_50000
543,4,0.5464000105857849,cifar_50000
544,5,0.5430999994277954,cifar_50000
545,6,0.5565999746322632,cifar_50000
546,7,0.5525000095367432,cifar_50000
547,8,0.5659999847412109,cifar_50000
548,9,0.5622000098228455,cifar_50000
549,10,0.5501000285148621,cifar_50000
550,11,0.5824999809265137,cifar_50000
551,12,0.5810999870300293,cifar_50000
552,13,0.5828999876976013,cifar_50000
553,14,0.5770999789237976,cifar_50000
554,15,0.5824000239372253,cifar_50000
555,16,0.5861999988555908,cifar_50000
556,17,0.5727999806404114,cifar_50000
557,18,0.5911999940872192,cifar_50000
558,19,0.5837000012397766,cifar_50000
559,20,0.5800999999046326,cifar_50000
560,21,0.5774999856948853,cifar_50000
561,22,0.5835000276565552,cifar_50000
562,23,0.5870000123977661,cifar_50000
563,24,0.595300018787384,cifar_50000
564,25,0.5698999762535095,cifar_50000
565,26,0.5909000039100647,cifar_50000
566,27,0.593999981880188,cifar_50000
567,28,0.5740000009536743,cifar_50000
568,29,0.5819000005722046,cifar_50000
569,30,0.5939000248908997,cifar_50000
570,1,0.4853000044822693,cifar_50000
571,2,0.5350000262260437,cifar_50000
572,3,0.5375999808311462,cifar_50000
573,4,0.5264000296592712,cifar_50000
574,5,0.5557000041007996,cifar_50000
575,6,0.5522000193595886,cifar_50000
576,7,0.550599992275238,cifar_50000
577,8,0.5630000233650208,cifar_50000
578,9,0.5748000144958496,cifar_50000
579,10,0.5730000138282776,cifar_50000
580,11,0.557699978351593,cifar_50000
581,12,0.5769000053405762,cifar_50000
582,13,0.5540000200271606,cifar_50000
583,14,0.5835000276565552,cifar_50000
584,15,0.5825999975204468,cifar_50000
585,16,0.5490999817848206,cifar_50000
586,17,0.5760999917984009,cifar_50000
587,18,0.5837000012397766,cifar_50000
588,19,0.579200029373169,cifar_50000
589,20,0.5773000121116638,cifar_50000
