,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
186,7,0.5333333611488342,5 Recombinations,0.9166666865348816
187,8,0.4000000059604645,5 Recombinations,0.75
188,9,0.23333333432674408,5 Recombinations,0.699999988079071
189,10,0.46666666865348816,5 Recombinations,0.8500000238418579
190,11,0.4000000059604645,5 Recombinations,0.6666666865348816
191,12,0.4000000059604645,5 Recombinations,0.75
192,13,0.4333333373069763,5 Recombinations,0.7833333611488342
193,14,0.4000000059604645,5 Recombinations,0.7333333492279053
194,15,0.4000000059604645,5 Recombinations,0.6166666746139526
195,16,0.23333333432674408,5 Recombinations,0.699999988079071
196,17,0.30000001192092896,5 Recombinations,0.6166666746139526
197,18,0.4000000059604645,5 Recombinations,0.6833333373069763
198,19,0.4000000059604645,5 Recombinations,0.75
199,20,0.36666667461395264,5 Recombinations,0.75
200,21,0.46666666865348816,5 Recombinations,0.7166666388511658
201,22,0.4000000059604645,5 Recombinations,0.7333333492279053
202,23,0.4333333373069763,5 Recombinations,0.7833333611488342
203,24,0.4333333373069763,5 Recombinations,0.7666666507720947
204,25,0.5333333611488342,5 Recombinations,0.7333333492279053
205,26,0.4000000059604645,5 Recombinations,0.6833333373069763
206,27,0.36666667461395264,5 Recombinations,0.6499999761581421
207,28,0.36666667461395264,5 Recombinations,0.7666666507720947
208,29,0.3333333432674408,5 Recombinations,0.7833333611488342
209,30,0.36666667461395264,5 Recombinations,0.7833333611488342
210,1,0.1666666716337204,5 Recombinations,0.5
211,2,0.36666667461395264,5 Recombinations,0.6166666746139526
212,3,0.36666667461395264,5 Recombinations,0.7666666507720947
213,4,0.5,5 Recombinations,0.8666666746139526
214,5,0.30000001192092896,5 Recombinations,0.6666666865348816
215,6,0.5333333611488342,5 Recombinations,0.8999999761581421
216,7,0.5,5 Recombinations,0.8833333253860474
217,8,0.5666666626930237,5 Recombinations,0.9166666865348816
218,9,0.5,5 Recombinations,0.8333333134651184
219,10,0.4333333373069763,5 Recombinations,0.8166666626930237
220,11,0.4000000059604645,5 Recombinations,0.7833333611488342
221,12,0.5666666626930237,5 Recombinations,0.8333333134651184
