,Epochs,Validation Accuracy,Setting
259,20,0.3192000091075897,cifar_500
260,21,0.32409998774528503,cifar_500
261,22,0.3102000057697296,cifar_500
262,23,0.33480000495910645,cifar_500
263,24,0.33379998803138733,cifar_500
264,25,0.34220001101493835,cifar_500
265,26,0.32850000262260437,cifar_500
266,27,0.23829999566078186,cifar_500
267,28,0.33399999141693115,cifar_500
268,29,0.3043999969959259,cifar_500
269,30,0.28679999709129333,cifar_500
270,1,0.1023000031709671,cifar_500
271,2,0.13410000503063202,cifar_500
272,3,0.18170000612735748,cifar_500
273,4,0.21639999747276306,cifar_500
274,5,0.2272000014781952,cifar_500
275,6,0.2084999978542328,cifar_500
276,7,0.22630000114440918,cifar_500
277,8,0.28529998660087585,cifar_500
278,9,0.28760001063346863,cifar_500
279,10,0.1988999992609024,cifar_500
280,11,0.22859999537467957,cifar_500
281,12,0.2513999938964844,cifar_500
282,13,0.2709999978542328,cifar_500
283,14,0.31299999356269836,cifar_500
284,15,0.3125999867916107,cifar_500
285,16,0.28700000047683716,cifar_500
286,17,0.23849999904632568,cifar_500
287,18,0.17900000512599945,cifar_500
288,19,0.2906000018119812,cifar_500
289,20,0.30489999055862427,cifar_500
290,21,0.28360000252723694,cifar_500
291,22,0.31380000710487366,cifar_500
292,23,0.2815000116825104,cifar_500
293,24,0.3521000146865845,cifar_500
294,25,0.3262999951839447,cifar_500
295,26,0.2687999904155731,cifar_500
296,27,0.2603999972343445,cifar_500
297,28,0.31200000643730164,cifar_500
298,29,0.2948000133037567,cifar_500
299,30,0.2849999964237213,cifar_500
300,1,0.3000999987125397,cifar_5000
301,2,0.36000001430511475,cifar_5000
302,3,0.24310000240802765,cifar_5000
303,4,0.37549999356269836,cifar_5000
304,5,0.37869998812675476,cifar_5000
305,6,0.40869998931884766,cifar_5000
306,7,0.37529999017715454,cifar_5000
307,8,0.4634000062942505,cifar_5000
308,9,0.49549999833106995,cifar_5000
309,10,0.4481000006198883,cifar_5000
310,11,0.49230000376701355,cifar_5000
311,12,0.47609999775886536,cifar_5000
312,13,0.46720001101493835,cifar_5000
313,14,0.47380000352859497,cifar_5000
314,15,0.4860999882221222,cifar_5000
315,16,0.5011000037193298,cifar_5000
316,17,0.5059000253677368,cifar_5000
317,18,0.49570000171661377,cifar_5000
318,19,0.4950000047683716,cifar_5000
319,20,0.511900007724762,cifar_5000
320,21,0.5105999708175659,cifar_5000
321,22,0.5317000150680542,cifar_5000
322,23,0.5040000081062317,cifar_5000
323,24,0.4966000020503998,cifar_5000
324,25,0.5044999718666077,cifar_5000
325,26,0.4212999939918518,cifar_5000
326,27,0.47189998626708984,cifar_5000
327,28,0.4934000074863434,cifar_5000
328,29,0.4715999960899353,cifar_5000
329,30,0.49889999628067017,cifar_5000
330,1,0.2799000144004822,cifar_5000
331,2,0.3695000112056732,cifar_5000
332,3,0.33550000190734863,cifar_5000
333,4,0.2919999957084656,cifar_5000
334,5,0.44519999623298645,cifar_5000
335,6,0.22869999706745148,cifar_5000
336,7,0.4505999982357025,cifar_5000
337,8,0.43160000443458557,cifar_5000
338,9,0.47540000081062317,cifar_5000
339,10,0.4578999876976013,cifar_5000
340,11,0.4717000126838684,cifar_5000
341,12,0.49619999527931213,cifar_5000
342,13,0.5073999762535095,cifar_5000
343,14,0.4417000114917755,cifar_5000
344,15,0.48829999566078186,cifar_5000
345,16,0.5040000081062317,cifar_5000
346,17,0.47519999742507935,cifar_5000
347,18,0.491100013256073,cifar_5000
348,19,0.49630001187324524,cifar_5000
349,20,0.5307000279426575,cifar_5000
350,21,0.4496000111103058,cifar_5000
351,22,0.4799000024795532,cifar_5000
352,23,0.5139999985694885,cifar_5000
353,24,0.5203999876976013,cifar_5000
354,25,0.5148000121116638,cifar_5000
355,26,0.5098999738693237,cifar_5000
356,27,0.5181000232696533,cifar_5000
357,28,0.48339998722076416,cifar_5000
358,29,0.4927000105381012,cifar_5000
359,30,0.48190000653266907,cifar_5000
360,1,0.21160000562667847,cifar_5000
361,2,0.31779998540878296,cifar_5000
362,3,0.40400001406669617,cifar_5000
363,4,0.4185999929904938,cifar_5000
364,5,0.47780001163482666,cifar_5000
365,6,0.48809999227523804,cifar_5000
366,7,0.40700000524520874,cifar_5000
